date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-01-20,-4607,-6599,ARG,fixed_gear,1.1251388888888889,0,1
2012-01-20,-4349,-5957,ARG,trawlers,0.45402777777777775,0,1
2012-01-20,-4093,-6498,ARG,trawlers,6.9056944444444444,0,1
2012-01-20,-4093,-6494,ARG,trawlers,5.1352777777777785,0,1
2012-01-20,-4348,-5957,ARG,trawlers,0.042916666666666665,0,1
2012-01-20,-4092,-6496,ARG,trawlers,1.8369444444444443,0,1
2012-01-20,-4092,-6495,ARG,trawlers,0.74791666666666667,0,1
2012-01-20,-5371,-6417,ARG,trawlers,0.75819444444444439,0,1
2012-01-20,-4347,-5957,ARG,trawlers,0.3347222222222222,0,1
2012-01-20,-4091,-6496,ARG,trawlers,4.4876388888888892,0,1
2012-01-20,-4602,-6607,ARG,fixed_gear,3.4776388888888889,0,1
2012-01-20,-4602,-6606,ARG,fixed_gear,1.1876388888888889,0,1
2012-01-20,-4090,-6495,ARG,other_fishing,0.49305555555555558,0,1
2012-01-20,-5369,-6416,ARG,trawlers,2.6763888888888889,0,1
2012-01-20,-4601,-6608,ARG,fixed_gear,0.50125,0,1
2012-01-20,-4345,-5960,ARG,trawlers,2.6343055555555557,0,1
2012-01-20,-4089,-6494,ARG,other_fishing,0.043055555555555555,0,1
2012-01-20,-4344,-6062,ARG,trawlers,0.81986111111111115,0,1
2012-01-20,-4344,-5958,ARG,trawlers,3.4737500000000003,0,1
2012-01-20,-4343,-6061,ARG,trawlers,0.80027777777777787,0,1
2012-01-20,-3830,-5762,ARG,trawlers,0.81222222222222218,0,1
2012-01-20,-3830,-5760,ARG,trawlers,0.79069444444444437,0,1
2012-01-20,-4085,-5722,ARG,drifting_longlines,5.0436111111111117,0,1
2012-01-20,-3829,-5761,ARG,trawlers,11.773055555555556,0,1
2012-01-20,-3573,-5572,ARG,trawlers,6.8513888888888888,0,1
2012-01-20,-4596,-6183,ARG,drifting_longlines,4.2725,0,1
2012-01-20,-4340,-5972,ARG,trawlers,5.3097222222222218,0,1
2012-01-20,-3828,-5759,ARG,trawlers,0.088888888888888878,0,1
2012-01-20,-4339,-5953,ARG,trawlers,0.7780555555555555,0,1
2012-01-20,-3827,-5759,ARG,trawlers,0.75263888888888886,0,1
2012-01-20,-3571,-5570,ARG,trawlers,1.6065277777777778,0,1
2012-01-20,-4594,-6610,ARG,fixed_gear,0.95138888888888884,0,1
2012-01-20,-4594,-6609,ARG,fixed_gear,0.72652777777777777,0,1
2012-01-20,-4338,-5942,ARG,trawlers,4.9584722222222224,0,1
2012-01-20,-4338,-5944,ARG,trawlers,0.49027777777777776,0,1
2012-01-20,-4338,-5952,ARG,trawlers,3.5101388888888887,0,2
2012-01-20,-3570,-5568,ARG,trawlers,5.72125,0,1
2012-01-20,-4593,-6611,ARG,fixed_gear,0.64291666666666669,0,1
2012-01-20,-4593,-6612,ARG,fixed_gear,4.0962499999999995,0,1
2012-01-20,-4080,-6489,ARG,trawlers,61.173472222222216,0,4
2012-01-20,-4591,-6144,ARG,trawlers,3.7866666666666666,0,1
2012-01-20,-4334,-6014,ARG,drifting_longlines,6.447222222222222,0,1
2012-01-20,-4334,-5951,ARG,trawlers,1.5890277777777779,0,1
2012-01-20,-4589,-6144,ARG,trawlers,0.77499999999999991,0,1
2012-01-20,-4332,-5947,ARG,trawlers,0.727638888888889,0,1
2012-01-20,-4330,-5943,ARG,trawlers,4.5988888888888884,0,1
2012-01-20,-4329,-5937,ARG,trawlers,2.423888888888889,0,1
2012-01-20,-4329,-5942,ARG,trawlers,4.5459722222222219,0,1
2012-01-20,-4329,-5953,ARG,trawlers,0.83624999999999994,0,1
2012-01-20,-4329,-5936,ARG,trawlers,0.80013888888888884,0,1
2012-01-20,-4329,-5938,ARG,trawlers,0.33319444444444446,0,1
2012-01-20,-4584,-6690,ARG,fixed_gear,0.49708333333333332,0,1
2012-01-20,-4584,-6691,ARG,fixed_gear,0.30138888888888887,0,1
2012-01-20,-4584,-6689,ARG,fixed_gear,0.788888888888889,0,1
2012-01-20,-4583,-6688,ARG,fixed_gear,1.1095833333333334,0,1
2012-01-20,-4583,-6692,ARG,fixed_gear,1.1225,0,1
2012-01-20,-4327,-5952,ARG,trawlers,2.6918055555555553,0,1
2012-01-20,-4582,-6695,ARG,fixed_gear,4.5859722222222219,0,1
2012-01-20,-3814,-5745,ARG,drifting_longlines,2.7470833333333333,0,1
2012-01-20,-3558,-5568,ARG,trawlers,7.1527777777777777,0,1
2012-01-20,-3558,-5572,ARG,trawlers,4.3401388888888892,0,1
2012-01-20,-3811,-5752,ARG,trawlers,1.9429166666666666,0,1
2012-01-20,-4577,-6675,ARG,fixed_gear,4.5751388888888886,0,1
2012-01-20,-4576,-6675,ARG,fixed_gear,0.78875,0,1
2012-01-20,-4320,-5932,ARG,trawlers,4.5245833333333332,0,1
2012-01-20,-4575,-6054,ARG,trawlers,0.79875,0,1
2012-01-20,-4575,-6675,ARG,fixed_gear,0.75527777777777783,0,1
2012-01-20,-4575,-6052,ARG,trawlers,2.6845833333333333,0,1
2012-01-20,-4319,-5939,ARG,trawlers,0.76402777777777775,0,1
2012-01-20,-4318,-5928,ARG,trawlers,4.5229166666666663,0,1
2012-01-20,-3805,-5754,ARG,trawlers,240.66083333333333,0,10
